"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Íllora";"10065";"885";"12";"119.22503725782414";"4";"887";"665";"24";"18/02/2021"
"Iznalloz";"5120";"536";"20";"390.625";"6";"540";"421";"18";"18/02/2021"
"Játar";"623";"8";"0";"0";"0";"8";"7";"0";"18/02/2021"
"Jayena";"1052";"63";"0";"0";"0";"63";"52";"1";"18/02/2021"
"Láchar";"3513";"343";"18";"512.38257899231428";"4";"343";"226";"13";"18/02/2021"
"Lecrín";"2156";"69";"6";"278.29313543599255";"1";"69";"35";"4";"18/02/2021"
"Loja";"20419";"1801";"109";"533.8165434154464";"47";"1806";"1258";"47";"18/02/2021"
"Malahá (La)";"1784";"137";"8";"448.4304932735426";"1";"137";"66";"2";"18/02/2021"
"Maracena";"22306";"1592";"70";"313.81691024836368";"28";"1616";"1135";"35";"18/02/2021"
"Moclín";"3622";"254";"8";"220.87244616234125";"2";"254";"187";"9";"18/02/2021"
"Monachil";"8007";"548";"11";"137.37979268140379";"6";"554";"436";"6";"18/02/2021"
"Montefrío";"5313";"351";"11";"207.03933747412009";"3";"363";"248";"15";"18/02/2021"
"Montejícar";"2110";"123";"4";"189.57345971563981";"2";"124";"86";"4";"18/02/2021"
"Montillana";"1129";"108";"6";"531.44375553587247";"4";"109";"72";"2";"18/02/2021"
"Moraleda de Zafayona";"3117";"192";"7";"224.57491177414181";"6";"192";"151";"5";"18/02/2021"
"Nigüelas";"1185";"45";"0";"0";"0";"45";"31";"1";"18/02/2021"
"Nívar";"1036";"68";"2";"193.05019305019306";"2";"70";"39";"0";"18/02/2021"
"Ogíjares";"14348";"1190";"43";"299.69333705046";"18";"1201";"876";"22";"18/02/2021"
"Villa de Otura";"6982";"365";"25";"358.06359209395589";"6";"371";"268";"6";"18/02/2021"
"Padul";"8694";"736";"14";"161.03059581320451";"3";"744";"457";"9";"18/02/2021"
"Peligros";"11492";"1201";"38";"330.66481030281938";"18";"1209";"895";"43";"18/02/2021"
"Pinar (El)";"865";"19";"0";"0";"0";"19";"15";"2";"18/02/2021"
"Pinos Genil";"1490";"80";"0";"0";"0";"81";"64";"2";"18/02/2021"
"Pinos Puente";"9894";"966";"35";"353.74974732160905";"11";"970";"589";"28";"18/02/2021"
"Píñar";"1103";"46";"2";"181.32366273798732";"0";"46";"22";"2";"18/02/2021"
"Pulianas";"5466";"509";"27";"493.96267837541166";"10";"509";"329";"2";"18/02/2021"
"Quéntar";"947";"49";"4";"422.38648363252378";"1";"49";"33";"1";"18/02/2021"
"Salar";"2621";"166";"5";"190.76688286913392";"1";"166";"136";"2";"18/02/2021"
"Santa Cruz del Comercio";"531";"17";"0";"0";"0";"17";"15";"1";"18/02/2021"
"Santa Fe";"15222";"1326";"39";"256.20811982656681";"8";"1341";"1014";"51";"18/02/2021"
"Torre-Cardela";"716";"46";"1";"139.66480446927375";"1";"46";"35";"1";"18/02/2021"
"Valderrubio";"2066";"184";"1";"48.402710551790904";"1";"184";"149";"2";"18/02/2021"
"Valle (El)";"907";"39";"0";"0";"0";"39";"30";"3";"18/02/2021"
"Vegas del Genil";"11432";"812";"51";"446.11616515045489";"19";"818";"586";"18";"18/02/2021"
"Ventas de Huelma";"657";"78";"1";"152.20700152207002";"1";"79";"54";"1";"18/02/2021"
"Villamena";"934";"77";"0";"0";"0";"77";"69";"1";"18/02/2021"
"Villanueva Mesía";"2021";"157";"7";"346.36318654131617";"3";"158";"93";"3";"18/02/2021"
"Víznar";"993";"53";"4";"402.81973816717021";"2";"53";"36";"0";"18/02/2021"
"Zafarraya";"2120";"73";"4";"188.67924528301887";"0";"73";"50";"0";"18/02/2021"
"Zagra";"885";"73";"0";"0";"0";"73";"54";"2";"18/02/2021"
"Zubia (La)";"19330";"1608";"67";"346.61148473874806";"26";"1645";"1150";"31";"18/02/2021"
"Municipio de Granada sin especificar";"0";"697";"9";NA;"1";"700";"570";"19";"18/02/2021"
"Alájar";"759";"16";"3";"395.25691699604744";"1";"16";"5";"0";"18/02/2021"
"Almonaster la Real";"1788";"54";"6";"335.57046979865771";"1";"56";"37";"1";"18/02/2021"
"Aracena";"8255";"456";"15";"181.70805572380377";"3";"466";"329";"15";"18/02/2021"
"Aroche";"3054";"81";"0";"0";"0";"81";"75";"1";"18/02/2021"
"Berrocal";"303";"19";"3";"990.09900990099015";"0";"19";"4";"1";"18/02/2021"
"Calañas";"2768";"169";"2";"72.25433526011561";"0";"169";"69";"1";"18/02/2021"
"Campillo (El)";"2024";"62";"0";"0";"0";"62";"57";"0";"18/02/2021"
"Campofrío";"713";"8";"0";"0";"0";"8";"7";"0";"18/02/2021"
"Cañaveral de León";"396";"3";"0";"0";"0";"3";"1";"0";"18/02/2021"
"Castaño del Robledo";"228";"7";"0";"0";"0";"7";"6";"0";"18/02/2021"
"Cerro de Andévalo (El)";"2327";"134";"3";"128.92135797163729";"0";"136";"72";"4";"18/02/2021"
"Corteconcepción";"536";"23";"0";"0";"0";"23";"20";"0";"18/02/2021"
"Cortegana";"4602";"199";"3";"65.189048239895698";"0";"201";"160";"1";"18/02/2021"
"Cortelazor";"299";"3";"0";"0";"0";"3";"2";"0";"18/02/2021"
"Cumbres de Enmedio";"51";"0";"0";"0";"0";"0";"0";"0";"18/02/2021"
"Cumbres de San Bartolomé";"376";"5";"2";"531.91489361702122";"2";"5";"2";"0";"18/02/2021"
"Cumbres Mayores";"1749";"25";"0";"0";"0";"26";"21";"0";"18/02/2021"
"Encinasola";"1310";"116";"0";"0";"0";"116";"57";"2";"18/02/2021"
"Fuenteheridos";"709";"3";"0";"0";"0";"3";"3";"0";"18/02/2021"
"Galaroza";"1382";"14";"2";"144.71780028943559";"0";"14";"10";"0";"18/02/2021"
"Granada de Río-Tinto (La)";"243";"2";"0";"0";"0";"2";"0";"0";"18/02/2021"
"Higuera de la Sierra";"1291";"29";"1";"77.459333849728893";"1";"29";"15";"0";"18/02/2021"
"Hinojales";"330";"1";"0";"0";"0";"1";"0";"0";"18/02/2021"
"Jabugo";"2260";"64";"0";"0";"0";"68";"53";"0";"18/02/2021"
"Linares de la Sierra";"262";"4";"0";"0";"0";"4";"3";"0";"18/02/2021"
"Marines (Los)";"399";"6";"0";"0";"0";"6";"5";"0";"18/02/2021"
"Minas de Riotinto";"3812";"101";"3";"78.698845750262336";"2";"102";"72";"2";"18/02/2021"
"Nava (La)";"258";"2";"0";"0";"0";"2";"0";"0";"18/02/2021"
"Nerva";"5169";"151";"6";"116.07661056297157";"4";"151";"82";"5";"18/02/2021"
"Puerto Moral";"278";"4";"0";"0";"0";"4";"3";"0";"18/02/2021"
"Rosal de la Frontera";"1697";"22";"0";"0";"0";"22";"20";"0";"18/02/2021"
"Santa Ana la Real";"475";"5";"0";"0";"0";"5";"4";"0";"18/02/2021"
"Valdelarco";"231";"4";"0";"0";"0";"4";"3";"1";"18/02/2021"
"Valverde del Camino";"12750";"423";"15";"117.64705882352941";"5";"435";"304";"0";"18/02/2021"
"Zalamea la Real";"3054";"85";"4";"130.97576948264572";"1";"85";"48";"0";"18/02/2021"
"Zarza-Perrunal (La)";"1253";"22";"2";"159.6169193934557";"0";"22";"16";"0";"18/02/2021"
"Almonte";"24507";"810";"99";"403.96621373485129";"43";"814";"481";"9";"18/02/2021"
"Beas";"4341";"158";"20";"460.72333563695003";"2";"160";"71";"2";"18/02/2021"
"Bollullos Par del Condado";"14387";"576";"63";"437.89532216584416";"20";"581";"278";"6";"18/02/2021"
"Bonares";"6060";"178";"18";"297.02970297029702";"2";"179";"90";"1";"18/02/2021"
"Escacena del Campo";"2287";"132";"6";"262.35242675994755";"4";"137";"106";"6";"18/02/2021"
"Gibraleón";"12737";"507";"28";"219.83198555389808";"11";"512";"342";"12";"18/02/2021"
"Lucena del Puerto";"3261";"144";"4";"122.66176019625881";"0";"148";"111";"3";"18/02/2021"
"Manzanilla";"2118";"85";"5";"236.07176581680832";"3";"85";"53";"1";"18/02/2021"
"Moguer";"21867";"795";"60";"274.38606118809162";"19";"800";"474";"4";"18/02/2021"
"Niebla";"4116";"158";"3";"72.886297376093296";"1";"160";"119";"0";"18/02/2021"
"Palma del Condado (La)";"10801";"962";"31";"287.0104619942598";"6";"974";"636";"21";"18/02/2021"
"Palos de la Frontera";"11742";"438";"39";"332.14103219213081";"7";"443";"272";"6";"18/02/2021"
"Paterna del Campo";"3457";"109";"1";"28.926815157651141";"0";"109";"68";"1";"18/02/2021"
"Rociana del Condado";"7939";"300";"34";"428.26552462526769";"12";"303";"144";"4";"18/02/2021"
"San Bartolomé de la Torre";"3761";"190";"6";"159.53203935123636";"2";"191";"63";"0";"18/02/2021"
