n_personas_1_dosis;%personas_1_dosis;n_personas_pauta_completa;%personas_pauta_completa;cod_cuando;cod_donde_provincia;cod_quien_vacunas
18;5,2685700459714493;12;2,3207516735220581;60;5;6
63;4,9519182273629001;29;2,5444672337850105;60;6;6
157;5,2417469698767016;40;2,8881244286900518;60;7;6
0;0,27580772261623326;1;0,22983976884686105;60;1;7
1;0,23472483027589194;5;0,17333525928065868;60;2;7
0;0,27196905596518794;0;0,19340021757524478;60;3;7
0;0,24610336341263331;0;0,18970467596390483;60;8;7
0;0,30721966205837176;1;0,15360983102918588;60;4;7
0;0,163471541090801;0;0,12631891811561896;60;5;7
0;0,33044313271387016;4;0,25418702516451547;60;6;7
5;0,25105186080569053;1;0,15109602733675817;60;7;7
0;0,00076638336028448154;0;0;60;1;8
0;0,0019163788105994912;0;0,00095818940529974561;60;2;8
1;0,0091008372770294867;1;0,003309395373465268;60;3;8
0;0,0041143797572515944;0;0,0020571898786257972;60;8;8
0;0,0093665847090504632;0;0,0011708230886313079;60;4;8
0;0,0032105477194409367;0;0,0010701825731469789;60;5;8
0;0,0043129164659962476;0;0,0028752776439974984;60;6;8
0;0,0050117333522010357;0;0,003242886286718317;60;7;8
15;104,04296739206008;44;100,90036849057915;61;1;1
30;106,56191892896987;69;104,13722573447379;61;2;1
27;104,12269394989124;46;102,21541931845645;61;3;1
15;103,42300722833987;47;101,10515940182003;61;8;1
19;105,95021250758955;15;103,56203197733252;61;4;1
4;101,3524996459425;13;99,357975735259402;61;5;1
42;100,26657471386321;72;97,425763584037341;61;6;1
78;106,15049589854108;155;103,336455030634;61;7;1
87;99,291018871100079;891;87,48658826499485;61;1;2
275;100,6405013542939;2846;85,813372988475223;61;2;2
107;99,108504216323865;1242;90,319569343747077;61;3;2
109;99,331136369983525;1592;87,290194654676455;61;8;2
76;101,1360178517091;748;91,806978395374784;61;4;2
69;96,501916085290361;475;88,992826962759167;61;5;2
325;92,65958783149712;2823;80,041083845034095;61;6;2
375;99,936124380780228;3777;87,873825266205046;61;7;2
379;85,608378117679479;132;11,558495245969409;61;1;3
