"Fecha diagnóstico";"Territorio";"Confirmados PDIA";"Total confirmados";"Hospitalizados";"UCI";"Fallecidos"
"22/07/2020";"Granada";"22";"23";"0";"0";"0"
"22/07/2020";"Huelva";"2";"2";"0";"0";"0"
"22/07/2020";"Jaén";"0";"1";"1";"1";"1"
"22/07/2020";"Málaga";"13";"13";"1";"0";"0"
"22/07/2020";"Sevilla";"10";"10";"0";"0";"0"
"21/07/2020";"Andalucía";"56";"56";"6";"1";"2"
"21/07/2020";"Almería";"15";"15";"2";"0";"1"
"21/07/2020";"Cádiz";"3";"3";"0";"0";"0"
"21/07/2020";"Córdoba";"6";"6";"1";"0";"1"
"21/07/2020";"Granada";"7";"7";"1";"0";"0"
"21/07/2020";"Huelva";"1";"1";"0";"0";"0"
"21/07/2020";"Jaén";"1";"1";"0";"0";"0"
"21/07/2020";"Málaga";"16";"16";"1";"0";"0"
"21/07/2020";"Sevilla";"7";"7";"1";"1";"0"
"20/07/2020";"Andalucía";"98";"98";"8";"1";"0"
"20/07/2020";"Almería";"55";"55";"2";"1";"0"
"20/07/2020";"Cádiz";"4";"4";"2";"0";"0"
"20/07/2020";"Córdoba";"6";"6";"1";"0";"0"
"20/07/2020";"Granada";"12";"12";"1";"0";"0"
"20/07/2020";"Málaga";"13";"13";"2";"0";"0"
"20/07/2020";"Sevilla";"8";"8";"0";"0";"0"
"19/07/2020";"Andalucía";"89";"89";"1";"0";"0"
"19/07/2020";"Almería";"58";"58";"0";"0";"0"
"19/07/2020";"Cádiz";"1";"1";"0";"0";"0"
"19/07/2020";"Córdoba";"17";"17";"0";"0";"0"
"19/07/2020";"Granada";"6";"6";"0";"0";"0"
"19/07/2020";"Málaga";"7";"7";"1";"0";"0"
"18/07/2020";"Andalucía";"103";"103";"9";"0";"0"
"18/07/2020";"Almería";"38";"38";"4";"0";"0"
"18/07/2020";"Cádiz";"2";"2";"0";"0";"0"
"18/07/2020";"Córdoba";"33";"33";"0";"0";"0"
"18/07/2020";"Granada";"10";"10";"1";"0";"0"
"18/07/2020";"Jaén";"1";"1";"0";"0";"0"
"18/07/2020";"Málaga";"17";"17";"3";"0";"0"
"18/07/2020";"Sevilla";"2";"2";"1";"0";"0"
"17/07/2020";"Andalucía";"114";"116";"4";"0";"1"
"17/07/2020";"Almería";"12";"12";"3";"0";"0"
"17/07/2020";"Cádiz";"0";"1";"0";"0";"0"
"17/07/2020";"Córdoba";"39";"39";"0";"0";"0"
"17/07/2020";"Granada";"25";"26";"0";"0";"0"
"17/07/2020";"Huelva";"1";"1";"0";"0";"0"
"17/07/2020";"Jaén";"1";"1";"0";"0";"0"
"17/07/2020";"Málaga";"25";"25";"1";"0";"0"
"17/07/2020";"Sevilla";"11";"11";"0";"0";"1"
"16/07/2020";"Andalucía";"78";"78";"1";"0";"0"
"16/07/2020";"Almería";"26";"26";"0";"0";"0"
"16/07/2020";"Córdoba";"8";"8";"0";"0";"0"
"16/07/2020";"Granada";"30";"30";"1";"0";"0"
"16/07/2020";"Jaén";"2";"2";"0";"0";"0"
"16/07/2020";"Málaga";"8";"8";"0";"0";"0"
"16/07/2020";"Sevilla";"4";"4";"0";"0";"0"
"15/07/2020";"Andalucía";"46";"47";"2";"0";"1"
"15/07/2020";"Almería";"17";"17";"0";"0";"0"
"15/07/2020";"Granada";"10";"10";"0";"0";"0"
"15/07/2020";"Huelva";"1";"1";"0";"0";"0"
"15/07/2020";"Jaén";"0";"1";"1";"0";"1"
"15/07/2020";"Málaga";"8";"8";"0";"0";"0"
"15/07/2020";"Sevilla";"10";"10";"1";"0";"0"
"14/07/2020";"Andalucía";"85";"85";"6";"0";"1"
"14/07/2020";"Almería";"51";"51";"0";"0";"0"
"14/07/2020";"Cádiz";"2";"2";"0";"0";"0"
"14/07/2020";"Granada";"17";"17";"3";"0";"1"
"14/07/2020";"Jaén";"6";"6";"1";"0";"0"
"14/07/2020";"Málaga";"7";"7";"1";"0";"0"
"14/07/2020";"Sevilla";"2";"2";"1";"0";"0"
"13/07/2020";"Andalucía";"30";"30";"3";"1";"0"
"13/07/2020";"Almería";"14";"14";"3";"1";"0"
"13/07/2020";"Cádiz";"3";"3";"0";"0";"0"
"13/07/2020";"Granada";"7";"7";"0";"0";"0"
"13/07/2020";"Huelva";"2";"2";"0";"0";"0"
"13/07/2020";"Jaén";"1";"1";"0";"0";"0"
"13/07/2020";"Málaga";"3";"3";"0";"0";"0"
"12/07/2020";"Andalucía";"20";"20";"4";"0";"1"
"12/07/2020";"Almería";"11";"11";"0";"0";"0"
"12/07/2020";"Cádiz";"2";"2";"0";"0";"0"
"12/07/2020";"Granada";"2";"2";"1";"0";"0"
"12/07/2020";"Jaén";"1";"1";"0";"0";"0"
"12/07/2020";"Málaga";"4";"4";"3";"0";"1"
"11/07/2020";"Andalucía";"42";"42";"2";"1";"0"
"11/07/2020";"Almería";"24";"24";"2";"1";"0"
"11/07/2020";"Córdoba";"3";"3";"0";"0";"0"
"11/07/2020";"Granada";"10";"10";"0";"0";"0"
"11/07/2020";"Jaén";"1";"1";"0";"0";"0"
"11/07/2020";"Málaga";"4";"4";"0";"0";"0"
"10/07/2020";"Andalucía";"51";"52";"4";"0";"0"
"10/07/2020";"Almería";"29";"30";"1";"0";"0"
"10/07/2020";"Cádiz";"2";"2";"1";"0";"0"
"10/07/2020";"Granada";"6";"6";"0";"0";"0"
"10/07/2020";"Huelva";"1";"1";"0";"0";"0"
