"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Linares";"57353";"9";"187";"326,05094764005372";"73";"9";"3";"1";"17/02/2021"
"Marmolejo";"6763";"0";"14";"207,00872393908028";"5";"0";"0";"0";"17/02/2021"
"Montizón";"1689";"0";"12";"710,47957371225573";"4";"0";"0";"0";"17/02/2021"
"Navas de San Juan";"4528";"0";"8";"176,67844522968198";"1";"0";"0";"0";"17/02/2021"
"Santa Elena";"890";"0";"1";"112,35955056179775";"0";"0";"0";"0";"17/02/2021"
"Santisteban del Puerto";"4463";"0";"7";"156,84517140936589";"2";"0";"0";"0";"17/02/2021"
"Sorihuela del Guadalimar";"1098";"0";"8";"728,59744990892534";"1";"0";"0";"0";"17/02/2021"
"Torreblascopedro";"2508";"0";"14";"558,2137161084529";"1";"0";"0";"0";"17/02/2021"
"Vilches";"4409";"3";"32";"725,78816058063057";"24";"3";"0";"0";"17/02/2021"
"Villanueva de la Reina";"3038";"0";"3";"98,749177090190912";"0";"0";"0";"0";"17/02/2021"
"Arroyo del Ojanco";"2287";"0";"2";"87,450808919982506";"1";"0";"0";"0";"17/02/2021"
"Beas de Segura";"5100";"0";"8";"156,86274509803923";"1";"0";"0";"0";"17/02/2021"
"Bedmar y Garcíez";"2633";"2";"4";"151,9179642992784";"3";"2";"0";"0";"17/02/2021"
"Begíjar";"3009";"0";"12";"398,80358923230307";"6";"0";"0";"0";"17/02/2021"
"Benatae";"445";"0";"5";"1123,5955056179776";"0";"0";"0";"0";"17/02/2021"
"Canena";"1814";"0";"4";"220,50716648291069";"0";"0";"0";"0";"17/02/2021"
"Cazorla";"7352";"4";"44";"598,47660500544066";"20";"4";"0";"0";"17/02/2021"
"Chilluévar";"1410";"0";"8";"567,3758865248227";"1";"0";"0";"0";"17/02/2021"
"Génave";"590";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Hinojares";"373";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Hornos";"594";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
