fecha;mes;anio;semana;nombre_mes;es_dia_natural;es_dia_habil;cod_cuando
28/11/2020;11;2020;48;Noviembre;TRUE;FALSE;221
27/11/2020;11;2020;48;Noviembre;TRUE;FALSE;222
26/11/2020;11;2020;48;Noviembre;TRUE;FALSE;223
25/11/2020;11;2020;48;Noviembre;TRUE;FALSE;224
24/11/2020;11;2020;47;Noviembre;TRUE;FALSE;225
23/11/2020;11;2020;47;Noviembre;TRUE;FALSE;226
22/11/2020;11;2020;47;Noviembre;TRUE;FALSE;227
21/11/2020;11;2020;47;Noviembre;TRUE;FALSE;228
20/11/2020;11;2020;47;Noviembre;TRUE;FALSE;229
19/11/2020;11;2020;47;Noviembre;TRUE;FALSE;230
18/11/2020;11;2020;47;Noviembre;TRUE;FALSE;231
17/11/2020;11;2020;46;Noviembre;TRUE;FALSE;232
16/11/2020;11;2020;46;Noviembre;TRUE;FALSE;233
15/11/2020;11;2020;46;Noviembre;TRUE;FALSE;234
14/11/2020;11;2020;46;Noviembre;TRUE;FALSE;235
13/11/2020;11;2020;46;Noviembre;TRUE;FALSE;236
12/11/2020;11;2020;46;Noviembre;TRUE;FALSE;237
11/11/2020;11;2020;46;Noviembre;TRUE;FALSE;238
10/11/2020;11;2020;45;Noviembre;TRUE;FALSE;239
09/11/2020;11;2020;45;Noviembre;TRUE;FALSE;240
08/11/2020;11;2020;45;Noviembre;TRUE;FALSE;241
07/11/2020;11;2020;45;Noviembre;TRUE;FALSE;242
06/11/2020;11;2020;45;Noviembre;TRUE;FALSE;243
05/11/2020;11;2020;45;Noviembre;TRUE;FALSE;244
04/11/2020;11;2020;45;Noviembre;TRUE;FALSE;245
03/11/2020;11;2020;44;Noviembre;TRUE;FALSE;246
02/11/2020;11;2020;44;Noviembre;TRUE;FALSE;247
01/11/2020;11;2020;44;Noviembre;TRUE;FALSE;248
31/10/2020;10;2020;44;Octubre;TRUE;FALSE;249
30/10/2020;10;2020;44;Octubre;TRUE;FALSE;250
29/10/2020;10;2020;44;Octubre;TRUE;FALSE;251
28/10/2020;10;2020;44;Octubre;TRUE;FALSE;252
27/10/2020;10;2020;43;Octubre;TRUE;FALSE;253
26/10/2020;10;2020;43;Octubre;TRUE;FALSE;254
25/10/2020;10;2020;43;Octubre;TRUE;FALSE;255
24/10/2020;10;2020;43;Octubre;TRUE;FALSE;256
23/10/2020;10;2020;43;Octubre;TRUE;FALSE;257
22/10/2020;10;2020;43;Octubre;TRUE;FALSE;258
21/10/2020;10;2020;43;Octubre;TRUE;FALSE;259
20/10/2020;10;2020;42;Octubre;TRUE;FALSE;260
19/10/2020;10;2020;42;Octubre;TRUE;FALSE;261
18/10/2020;10;2020;42;Octubre;TRUE;FALSE;262
17/10/2020;10;2020;42;Octubre;TRUE;FALSE;263
16/10/2020;10;2020;42;Octubre;TRUE;FALSE;264
15/10/2020;10;2020;42;Octubre;TRUE;FALSE;265
14/10/2020;10;2020;42;Octubre;TRUE;FALSE;266
13/10/2020;10;2020;41;Octubre;TRUE;FALSE;267
12/10/2020;10;2020;41;Octubre;TRUE;FALSE;268
11/10/2020;10;2020;41;Octubre;TRUE;FALSE;269
10/10/2020;10;2020;41;Octubre;TRUE;FALSE;270
09/10/2020;10;2020;41;Octubre;TRUE;FALSE;271
08/10/2020;10;2020;41;Octubre;TRUE;FALSE;272
07/10/2020;10;2020;41;Octubre;TRUE;FALSE;273
06/10/2020;10;2020;40;Octubre;TRUE;FALSE;274
05/10/2020;10;2020;40;Octubre;TRUE;FALSE;275
04/10/2020;10;2020;40;Octubre;TRUE;FALSE;276
03/10/2020;10;2020;40;Octubre;TRUE;FALSE;277
02/10/2020;10;2020;40;Octubre;TRUE;FALSE;278
01/10/2020;10;2020;40;Octubre;TRUE;FALSE;279
30/09/2020;9;2020;40;Septiembre;TRUE;FALSE;280
29/09/2020;9;2020;39;Septiembre;TRUE;FALSE;281
28/09/2020;9;2020;39;Septiembre;TRUE;FALSE;282
27/09/2020;9;2020;39;Septiembre;TRUE;FALSE;283
26/09/2020;9;2020;39;Septiembre;TRUE;FALSE;284
25/09/2020;9;2020;39;Septiembre;TRUE;FALSE;285
24/09/2020;9;2020;39;Septiembre;TRUE;FALSE;286
23/09/2020;9;2020;39;Septiembre;TRUE;FALSE;287
22/09/2020;9;2020;38;Septiembre;TRUE;FALSE;288
21/09/2020;9;2020;38;Septiembre;TRUE;FALSE;289
20/09/2020;9;2020;38;Septiembre;TRUE;FALSE;290
19/09/2020;9;2020;38;Septiembre;TRUE;FALSE;291
18/09/2020;9;2020;38;Septiembre;TRUE;FALSE;292
17/09/2020;9;2020;38;Septiembre;TRUE;FALSE;293
16/09/2020;9;2020;38;Septiembre;TRUE;FALSE;294
15/09/2020;9;2020;37;Septiembre;TRUE;FALSE;295
14/09/2020;9;2020;37;Septiembre;TRUE;FALSE;296
13/09/2020;9;2020;37;Septiembre;TRUE;FALSE;297
12/09/2020;9;2020;37;Septiembre;TRUE;FALSE;298
11/09/2020;9;2020;37;Septiembre;TRUE;FALSE;299
10/09/2020;9;2020;37;Septiembre;TRUE;FALSE;300
09/09/2020;9;2020;37;Septiembre;TRUE;FALSE;301
08/09/2020;9;2020;36;Septiembre;TRUE;FALSE;302
07/09/2020;9;2020;36;Septiembre;TRUE;FALSE;303
06/09/2020;9;2020;36;Septiembre;TRUE;FALSE;304
05/09/2020;9;2020;36;Septiembre;TRUE;FALSE;305
04/09/2020;9;2020;36;Septiembre;TRUE;FALSE;306
03/09/2020;9;2020;36;Septiembre;TRUE;FALSE;307
02/09/2020;9;2020;36;Septiembre;TRUE;FALSE;308
01/09/2020;9;2020;35;Septiembre;TRUE;FALSE;309
31/08/2020;8;2020;35;Agosto;TRUE;FALSE;310
30/08/2020;8;2020;35;Agosto;TRUE;FALSE;311
29/08/2020;8;2020;35;Agosto;TRUE;FALSE;312
28/08/2020;8;2020;35;Agosto;TRUE;FALSE;313
27/08/2020;8;2020;35;Agosto;TRUE;FALSE;314
26/08/2020;8;2020;35;Agosto;TRUE;FALSE;315
25/08/2020;8;2020;34;Agosto;TRUE;FALSE;316
24/08/2020;8;2020;34;Agosto;TRUE;FALSE;317
23/08/2020;8;2020;34;Agosto;TRUE;FALSE;318
22/08/2020;8;2020;34;Agosto;TRUE;FALSE;319
21/08/2020;8;2020;34;Agosto;TRUE;FALSE;320
20/08/2020;8;2020;34;Agosto;TRUE;FALSE;321
19/08/2020;8;2020;34;Agosto;TRUE;FALSE;322
18/08/2020;8;2020;33;Agosto;TRUE;FALSE;323
17/08/2020;8;2020;33;Agosto;TRUE;FALSE;324
16/08/2020;8;2020;33;Agosto;TRUE;FALSE;325
