confirmados_pdia;total_confirmados;hospitalizados;uci;fallecidos;cod_cuando;cod_donde_provincia
369;369;43;9;2;38;4
119;119;6;0;0;38;5
175;175;21;0;1;38;6
221;222;15;1;3;38;7
532;532;35;4;1;38;8
130;131;7;1;1;37;1
153;153;13;3;2;37;2
96;96;13;5;3;37;3
354;354;26;5;2;37;4
72;72;7;0;0;37;5
137;137;11;2;2;37;6
198;199;21;4;1;37;7
361;361;37;7;4;37;8
69;69;3;1;2;116;1
62;62;6;1;1;116;2
62;62;11;4;0;116;3
132;132;21;8;6;116;4
40;41;5;1;0;116;5
78;78;9;0;0;116;6
85;85;12;2;0;116;7
192;192;23;2;1;116;8
106;106;15;5;0;117;1
122;122;8;1;2;117;2
94;94;3;0;0;117;3
120;120;16;1;0;117;4
79;79;8;0;0;117;5
107;108;8;0;1;117;6
129;129;9;0;0;117;7
331;331;36;3;2;117;8
143;143;6;2;0;36;1
224;224;12;3;0;36;2
121;123;6;2;0;36;3
388;389;35;9;4;36;4
147;147;19;2;2;36;5
197;197;18;1;2;36;6
241;241;17;0;0;36;7
511;511;43;2;5;36;8
156;156;9;1;3;35;1
237;237;17;3;1;35;2
117;117;8;3;1;35;3
364;364;33;1;5;35;4
119;119;13;0;0;35;5
238;238;20;1;4;35;6
216;216;15;1;2;35;7
541;541;34;6;2;35;8
193;193;18;3;2;118;1
242;242;15;2;3;118;2
158;158;9;0;0;118;3
428;428;25;11;3;118;4
134;134;12;1;0;118;5
242;243;10;0;2;118;6
248;248;13;0;1;118;7
519;519;36;5;0;118;8
211;211;8;2;1;119;1
230;230;18;4;4;119;2
174;174;19;1;2;119;3
416;416;45;11;2;119;4
65;66;7;2;0;119;5
197;197;11;3;1;119;6
212;212;14;2;0;119;7
503;503;43;2;2;119;8
100;100;15;4;3;34;1
143;143;10;0;1;34;2
125;125;11;1;0;34;3
387;388;40;11;5;34;4
97;97;12;1;1;34;5
156;156;11;2;0;34;6
181;181;16;4;1;34;7
