"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
0;0;0;0;31;505
0;0;0;0;32;505
0;0;0;0;33;505
0;0;0;0;34;505
0;0;0;0;35;505
0;0;0;0;36;505
0;0;0;0;1;506
0;0;0;0;2;506
0;0;0;0;3;506
0;0;0;0;4;506
0;0;0;0;5;506
0;0;0;0;6;506
0;0;0;0;7;506
0;0;0;0;8;506
0;0;0;0;9;506
4;4;4;0;10;506
0;0;0;0;11;506
1;1;1;0;12;506
0;0;0;0;13;506
0;0;0;0;14;506
0;0;1;0;15;506
0;0;0;0;16;506
0;0;0;0;17;506
0;0;0;0;18;506
0;0;0;0;19;506
0;0;0;0;20;506
0;0;0;0;21;506
0;0;0;0;22;506
0;0;0;0;23;506
0;0;0;0;24;506
0;0;0;0;25;506
0;0;0;0;26;506
0;0;0;0;27;506
2;2;1;0;28;506
0;0;0;0;29;506
0;0;0;0;30;506
0;0;1;0;31;506
0;0;0;0;32;506
0;0;0;0;33;506
0;0;0;0;34;506
0;0;0;0;35;506
0;0;0;0;36;506
0;0;0;0;1;507
0;0;0;0;2;507
0;0;0;0;3;507
0;0;0;0;4;507
0;0;0;0;5;507
0;0;0;0;6;507
0;0;0;0;7;507
0;0;0;0;8;507
0;0;0;0;9;507
-1;-1;4;0;10;507
0;0;0;0;11;507
0;0;0;0;12;507
0;0;0;0;13;507
0;0;0;0;14;507
0;0;0;0;15;507
0;0;0;0;16;507
0;0;0;0;17;507
0;0;0;0;18;507
0;0;0;0;19;507
0;0;0;0;20;507
0;0;0;0;21;507
0;0;0;0;22;507
1;1;0;0;23;507
0;0;1;0;24;507
0;0;0;0;25;507
0;0;0;0;26;507
0;0;0;0;27;507
-1;-1;1;0;28;507
0;0;0;0;29;507
0;0;0;0;30;507
1;1;1;0;31;507
0;0;0;0;32;507
0;0;0;0;33;507
0;0;0;0;34;507
0;0;0;0;35;507
0;0;0;0;36;507
0;0;0;0;1;508
0;0;0;0;2;508
0;0;0;0;3;508
0;0;0;0;4;508
0;0;0;0;5;508
0;0;0;0;6;508
0;0;0;0;7;508
0;0;0;0;8;508
0;0;0;0;9;508
1;1;0;0;10;508
0;0;0;0;11;508
0;0;0;0;12;508
0;0;0;0;13;508
0;0;0;0;14;508
0;0;0;0;15;508
0;0;0;0;16;508
0;0;0;0;17;508
0;0;0;0;18;508
0;0;0;0;19;508
1;1;0;0;20;508
0;0;0;0;21;508
0;0;0;0;22;508
0;0;0;0;23;508
0;0;0;0;24;508
1;1;1;0;25;508
0;0;0;0;26;508
0;0;0;0;27;508
0;0;2;0;28;508
0;0;0;0;29;508
0;0;0;0;30;508
-1;-1;-1;0;31;508
0;0;0;0;32;508
0;0;0;0;33;508
0;0;0;0;34;508
0;0;0;0;35;508
0;0;0;0;36;508
0;0;0;0;1;509
0;0;0;0;2;509
0;0;0;0;3;509
0;0;0;0;4;509
0;0;0;0;5;509
0;0;0;0;6;509
0;0;0;0;7;509
0;0;0;0;8;509
0;0;0;0;9;509
3;3;0;0;10;509
0;0;0;0;11;509
0;0;0;0;12;509
0;0;0;0;13;509
0;0;0;0;14;509
0;0;0;0;15;509
0;0;0;0;16;509
0;0;0;0;17;509
0;0;0;0;18;509
0;0;0;0;19;509
0;0;0;1;20;509
0;0;0;0;21;509
0;0;0;0;22;509
0;0;0;0;23;509
0;0;0;0;24;509
0;0;0;0;25;509
0;0;0;0;26;509
0;0;0;0;27;509
0;0;1;0;28;509
0;0;0;0;29;509
0;0;0;0;30;509
0;0;1;0;31;509
0;0;0;0;32;509
0;0;0;0;33;509
0;0;0;0;34;509
0;0;0;0;35;509
0;0;0;0;36;509
0;0;0;0;1;510
0;0;0;0;2;510
0;0;0;0;3;510
0;0;0;0;4;510
0;0;0;0;5;510
0;0;0;0;6;510
0;0;0;0;7;510
0;0;0;0;8;510
0;0;0;0;9;510
-1;-1;0;0;10;510
0;0;0;0;11;510
0;0;0;0;12;510
0;0;0;0;13;510
0;0;0;0;14;510
0;0;0;0;15;510
0;0;0;0;16;510
0;0;0;0;17;510
0;0;0;0;18;510
0;0;0;0;19;510
0;0;0;0;20;510
0;0;0;0;21;510
0;0;0;0;22;510
0;0;0;0;23;510
0;0;0;0;24;510
0;0;0;0;25;510
0;0;0;0;26;510
0;0;0;0;27;510
0;0;0;0;28;510
0;0;0;0;29;510
0;0;0;0;30;510
0;0;0;0;31;510
0;0;0;0;32;510
0;0;0;0;33;510
0;0;0;0;34;510
0;0;0;0;35;510
0;0;0;0;36;510
0;0;0;0;1;511
0;0;0;0;2;511
0;0;0;0;3;511
0;0;0;0;4;511
0;0;0;0;5;511
0;0;0;0;6;511
0;0;0;0;7;511
0;0;0;0;8;511
0;0;0;0;9;511
0;0;0;0;10;511
0;0;0;0;11;511
0;0;0;0;12;511
0;0;0;0;13;511
0;0;0;0;14;511
0;0;0;0;15;511
0;0;0;0;16;511
0;0;0;0;17;511
0;0;0;0;18;511
0;0;0;0;19;511
0;0;0;0;20;511
0;0;0;0;21;511
0;0;0;0;22;511
0;0;0;0;23;511
0;0;0;0;24;511
0;0;0;0;25;511
0;0;0;0;26;511
0;0;0;0;27;511
1;1;5;0;28;511
0;0;0;0;29;511
0;0;1;0;30;511
0;0;0;0;31;511
0;0;0;0;32;511
0;0;0;0;33;511
0;0;0;0;34;511
0;0;0;0;35;511
0;0;0;0;36;511
0;0;0;0;1;512
0;0;0;0;2;512
0;0;0;0;3;512
0;0;1;0;4;512
0;0;1;0;5;512
0;0;0;0;6;512
0;0;1;0;7;512
0;0;0;0;8;512
0;0;0;0;9;512
0;0;1;0;10;512
0;0;0;0;11;512
0;0;0;0;12;512
0;0;0;0;13;512
0;0;0;0;14;512
0;0;0;0;15;512
0;0;0;0;16;512
0;0;0;0;17;512
0;0;0;0;18;512
0;0;0;0;19;512
0;0;0;0;20;512
0;0;0;0;21;512
0;0;0;0;22;512
0;0;1;0;23;512
0;0;1;0;24;512
0;0;0;0;25;512
0;0;-1;1;26;512
0;0;0;0;27;512
0;0;0;0;28;512
0;0;0;0;29;512
0;0;0;0;30;512
0;0;0;0;31;512
0;0;0;0;32;512
0;0;0;0;33;512
0;0;0;0;34;512
0;0;0;0;35;512
0;0;0;0;36;512
0;0;0;0;1;513
0;0;0;0;2;513
1;1;0;0;3;513
1;1;0;0;4;513
0;0;0;0;5;513
0;0;0;0;6;513
0;0;0;0;7;513
0;0;0;0;8;513
0;0;0;0;9;513
1;1;5;0;10;513
0;0;0;0;11;513
0;0;1;0;12;513
1;1;0;0;13;513
0;0;0;0;14;513
0;0;0;0;15;513
0;0;0;0;16;513
0;0;0;0;17;513
0;0;0;0;18;513
0;0;0;0;19;513
0;0;0;0;20;513
1;1;0;0;21;513
0;0;0;0;22;513
1;1;0;0;23;513
1;1;0;0;24;513
0;0;0;0;25;513
0;0;0;0;26;513
0;0;0;0;27;513
0;0;0;0;28;513
0;0;0;0;29;513
0;0;0;0;30;513
0;0;0;0;31;513
0;0;0;0;32;513
0;0;0;0;33;513
0;0;0;0;34;513
0;0;0;0;35;513
0;0;0;0;36;513
0;0;0;0;1;514
0;0;0;0;2;514
0;0;0;0;3;514
0;0;0;0;4;514
0;0;0;0;5;514
0;0;0;0;6;514
0;0;0;0;7;514
0;0;0;0;8;514
0;0;0;0;9;514
0;0;0;0;10;514
0;0;0;0;11;514
0;0;0;0;12;514
-1;-1;0;0;13;514
0;0;0;0;14;514
0;0;0;0;15;514
0;0;0;0;16;514
0;0;0;0;17;514
0;0;0;0;18;514
0;0;0;0;19;514
0;0;0;0;20;514
0;0;0;0;21;514
1;1;0;0;22;514
0;0;0;0;23;514
0;0;0;0;24;514
0;0;0;0;25;514
0;0;0;0;26;514
0;0;0;0;27;514
0;0;1;0;28;514
0;0;0;0;29;514
0;0;0;0;30;514
0;0;0;0;31;514
0;0;0;0;32;514
0;0;0;0;33;514
0;0;0;0;34;514
0;0;0;0;35;514
0;0;0;0;36;514
0;0;0;0;1;515
0;0;0;0;2;515
0;0;0;0;3;515
1;1;0;1;4;515
0;0;0;1;5;515
0;0;0;0;6;515
0;0;0;0;7;515
0;0;0;0;8;515
0;0;0;0;9;515
0;0;0;0;10;515
0;0;0;0;11;515
0;0;0;0;12;515
0;0;0;0;13;515
0;0;0;0;14;515
0;0;0;0;15;515
0;0;0;0;16;515
0;0;0;0;17;515
0;0;0;0;18;515
0;0;0;0;19;515
0;0;0;0;20;515
0;0;0;0;21;515
-1;-1;0;-1;22;515
0;0;0;0;23;515
0;0;0;0;24;515
0;0;0;0;25;515
0;0;0;0;26;515
0;0;0;0;27;515
0;0;0;0;28;515
0;0;0;0;29;515
0;0;0;0;30;515
0;0;0;0;31;515
0;0;0;0;32;515
0;0;0;0;33;515
0;0;0;0;34;515
0;0;0;0;35;515
0;0;0;0;36;515
0;0;0;0;1;516
0;0;0;0;2;516
0;0;0;0;3;516
0;0;0;0;4;516
0;0;0;0;5;516
0;0;0;0;6;516
0;0;0;0;7;516
0;0;0;0;8;516
0;0;0;0;9;516
-1;-1;0;0;10;516
0;0;0;0;11;516
0;0;0;0;12;516
0;0;0;0;13;516
0;0;0;0;14;516
0;0;0;0;15;516
0;0;0;0;16;516
0;0;0;0;17;516
0;0;0;0;18;516
0;0;0;0;19;516
0;0;0;0;20;516
0;0;0;0;21;516
0;0;0;0;22;516
0;0;0;0;23;516
0;0;0;0;24;516
0;0;0;0;25;516
0;0;0;0;26;516
0;0;0;0;27;516
0;0;0;0;28;516
0;0;0;0;29;516
0;0;0;0;30;516
0;0;0;0;31;516
0;0;0;0;32;516
0;0;0;0;33;516
0;0;0;0;34;516
0;0;0;0;35;516
0;0;0;0;36;516
0;0;0;0;1;517
0;0;0;0;2;517
0;0;0;0;3;517
3;3;1;0;4;517
0;0;0;0;5;517
1;1;0;0;6;517
1;1;0;0;7;517
0;0;0;0;8;517
0;0;0;0;9;517
0;0;0;0;10;517
0;0;0;0;11;517
0;0;0;0;12;517
0;0;0;0;13;517
0;0;0;0;14;517
0;0;0;0;15;517
0;0;0;0;16;517
0;0;0;0;17;517
0;0;0;0;18;517
0;0;0;0;19;517
1;1;1;0;20;517
1;1;0;0;21;517
1;1;1;0;22;517
