"Fecha";"Mes";"Año";"Semana";"Nombre del Mes";"Tipo de Fecha";"cod_cuando"
"02/09/2020";9;2020;36;"Septiembre";"Día natural";247
"01/09/2020";9;2020;35;"Septiembre";"Día natural";248
"31/08/2020";8;2020;35;"Agosto";"Día natural";249
"30/08/2020";8;2020;35;"Agosto";"Día natural";250
"29/08/2020";8;2020;35;"Agosto";"Día natural";251
"28/08/2020";8;2020;35;"Agosto";"Día natural";252
"27/08/2020";8;2020;35;"Agosto";"Día natural";253
"26/08/2020";8;2020;35;"Agosto";"Día natural";254
"25/08/2020";8;2020;34;"Agosto";"Día natural";255
"24/08/2020";8;2020;34;"Agosto";"Día natural";256
"23/08/2020";8;2020;34;"Agosto";"Día natural";257
"22/08/2020";8;2020;34;"Agosto";"Día natural";258
"21/08/2020";8;2020;34;"Agosto";"Día natural";259
"20/08/2020";8;2020;34;"Agosto";"Día natural";260
"19/08/2020";8;2020;34;"Agosto";"Día natural";261
"18/08/2020";8;2020;33;"Agosto";"Día natural";262
"17/08/2020";8;2020;33;"Agosto";"Día natural";263
"16/08/2020";8;2020;33;"Agosto";"Día natural";264
"15/08/2020";8;2020;33;"Agosto";"Día natural";265
"14/08/2020";8;2020;33;"Agosto";"Día natural";266
"13/08/2020";8;2020;33;"Agosto";"Día natural";267
"12/08/2020";8;2020;33;"Agosto";"Día natural";268
"11/08/2020";8;2020;32;"Agosto";"Día natural";269
"10/08/2020";8;2020;32;"Agosto";"Día natural";270
"09/08/2020";8;2020;32;"Agosto";"Día natural";271
"08/08/2020";8;2020;32;"Agosto";"Día natural";272
"07/08/2020";8;2020;32;"Agosto";"Día natural";273
"06/08/2020";8;2020;32;"Agosto";"Día natural";274
"05/08/2020";8;2020;32;"Agosto";"Día natural";275
"04/08/2020";8;2020;31;"Agosto";"Día natural";276
"03/08/2020";8;2020;31;"Agosto";"Día natural";277
"02/08/2020";8;2020;31;"Agosto";"Día natural";278
"01/08/2020";8;2020;31;"Agosto";"Día natural";279
"31/07/2020";7;2020;31;"Julio";"Día natural";280
"30/07/2020";7;2020;31;"Julio";"Día natural";281
"29/07/2020";7;2020;31;"Julio";"Día natural";282
"28/07/2020";7;2020;30;"Julio";"Día natural";283
"27/07/2020";7;2020;30;"Julio";"Día natural";284
"26/07/2020";7;2020;30;"Julio";"Día natural";285
"25/07/2020";7;2020;30;"Julio";"Día natural";286
"24/07/2020";7;2020;30;"Julio";"Día natural";287
"23/07/2020";7;2020;30;"Julio";"Día natural";288
"22/07/2020";7;2020;30;"Julio";"Día natural";289
"21/07/2020";7;2020;29;"Julio";"Día natural";290
"20/07/2020";7;2020;29;"Julio";"Día natural";291
"19/07/2020";7;2020;29;"Julio";"Día natural";292
"18/07/2020";7;2020;29;"Julio";"Día natural";293
"17/07/2020";7;2020;29;"Julio";"Día natural";294
"16/07/2020";7;2020;29;"Julio";"Día natural";295
"15/07/2020";7;2020;29;"Julio";"Día natural";296
"14/07/2020";7;2020;28;"Julio";"Día natural";297
"13/07/2020";7;2020;28;"Julio";"Día natural";298
"12/07/2020";7;2020;28;"Julio";"Día natural";299
"11/07/2020";7;2020;28;"Julio";"Día natural";300
"10/07/2020";7;2020;28;"Julio";"Día natural";301
"09/07/2020";7;2020;28;"Julio";"Día natural";302
"08/07/2020";7;2020;28;"Julio";"Día natural";303
"07/07/2020";7;2020;27;"Julio";"Día natural";304
"06/07/2020";7;2020;27;"Julio";"Día natural";305
"05/07/2020";7;2020;27;"Julio";"Día natural";306
"04/07/2020";7;2020;27;"Julio";"Día natural";307
"03/07/2020";7;2020;27;"Julio";"Día natural";308
"02/07/2020";7;2020;27;"Julio";"Día natural";309
"01/07/2020";7;2020;27;"Julio";"Día natural";310
"30/06/2020";6;2020;26;"Junio";"Día natural";311
"29/06/2020";6;2020;26;"Junio";"Día natural";312
"28/06/2020";6;2020;26;"Junio";"Día natural";313
"27/06/2020";6;2020;26;"Junio";"Día natural";314
"26/06/2020";6;2020;26;"Junio";"Día natural";315
"25/06/2020";6;2020;26;"Junio";"Día natural";316
"24/06/2020";6;2020;26;"Junio";"Día natural";317
"23/06/2020";6;2020;25;"Junio";"Día natural";318
"22/06/2020";6;2020;25;"Junio";"Día natural";319
"21/06/2020";6;2020;25;"Junio";"Día natural";320
"20/06/2020";6;2020;25;"Junio";"Día natural";321
"19/06/2020";6;2020;25;"Junio";"Día natural";322
"18/06/2020";6;2020;25;"Junio";"Día natural";323
"17/06/2020";6;2020;25;"Junio";"Día natural";324
"16/06/2020";6;2020;24;"Junio";"Día natural";325
"15/06/2020";6;2020;24;"Junio";"Día natural";326
"14/06/2020";6;2020;24;"Junio";"Día natural";327
"13/06/2020";6;2020;24;"Junio";"Día natural";328
"12/06/2020";6;2020;24;"Junio";"Día natural";329
"11/06/2020";6;2020;24;"Junio";"Día natural";330
"10/06/2020";6;2020;24;"Junio";"Día natural";331
"09/06/2020";6;2020;23;"Junio";"Día natural";332
"08/06/2020";6;2020;23;"Junio";"Día natural";333
"07/06/2020";6;2020;23;"Junio";"Día natural";334
"06/06/2020";6;2020;23;"Junio";"Día natural";335
"05/06/2020";6;2020;23;"Junio";"Día natural";336
"04/06/2020";6;2020;23;"Junio";"Día natural";337
"03/06/2020";6;2020;23;"Junio";"Día natural";338
"02/06/2020";6;2020;22;"Junio";"Día natural";339
"01/06/2020";6;2020;22;"Junio";"Día natural";340
"31/05/2020";5;2020;22;"Mayo";"Día natural";341
"30/05/2020";5;2020;22;"Mayo";"Día natural";342
"29/05/2020";5;2020;22;"Mayo";"Día natural";343
"28/05/2020";5;2020;22;"Mayo";"Día natural";344
"27/05/2020";5;2020;22;"Mayo";"Día natural";345
"26/05/2020";5;2020;21;"Mayo";"Día natural";346
"25/05/2020";5;2020;21;"Mayo";"Día natural";347
"24/05/2020";5;2020;21;"Mayo";"Día natural";348
"23/05/2020";5;2020;21;"Mayo";"Día natural";349
"22/05/2020";5;2020;21;"Mayo";"Día natural";350
"21/05/2020";5;2020;21;"Mayo";"Día natural";351
"20/05/2020";5;2020;21;"Mayo";"Día natural";352
"19/05/2020";5;2020;20;"Mayo";"Día natural";353
"18/05/2020";5;2020;20;"Mayo";"Día natural";354
"17/05/2020";5;2020;20;"Mayo";"Día natural";355
"16/05/2020";5;2020;20;"Mayo";"Día natural";356
"15/05/2020";5;2020;20;"Mayo";"Día natural";357
"14/05/2020";5;2020;20;"Mayo";"Día natural";358
"13/05/2020";5;2020;20;"Mayo";"Día natural";359
"12/05/2020";5;2020;19;"Mayo";"Día natural";360
"11/05/2020";5;2020;19;"Mayo";"Día natural";361
"10/05/2020";5;2020;19;"Mayo";"Día natural";362
"09/05/2020";5;2020;19;"Mayo";"Día natural";363
"08/05/2020";5;2020;19;"Mayo";"Día natural";364
"07/05/2020";5;2020;19;"Mayo";"Día natural";365
"06/05/2020";5;2020;19;"Mayo";"Día natural";366
"05/05/2020";5;2020;18;"Mayo";"Día natural";367
"04/05/2020";5;2020;18;"Mayo";"Día natural";368
"03/05/2020";5;2020;18;"Mayo";"Día natural";369
"02/05/2020";5;2020;18;"Mayo";"Día natural";370
"01/05/2020";5;2020;18;"Mayo";"Día natural";371
"30/04/2020";4;2020;18;"Abril";"Día natural";372
"29/04/2020";4;2020;18;"Abril";"Día natural";373
"28/04/2020";4;2020;17;"Abril";"Día natural";374
"27/04/2020";4;2020;17;"Abril";"Día natural";375
"26/04/2020";4;2020;17;"Abril";"Día natural";376
"25/04/2020";4;2020;17;"Abril";"Día natural";377
"24/04/2020";4;2020;17;"Abril";"Día natural";378
"23/04/2020";4;2020;17;"Abril";"Día natural";379
"22/04/2020";4;2020;17;"Abril";"Día natural";380
"21/04/2020";4;2020;16;"Abril";"Día natural";381
"20/04/2020";4;2020;16;"Abril";"Día natural";382
